Date,Exercise,Category,Weight,Weight Unit,Reps,Distance,Distance Unit,Time
2025-11-24,Overhead Press,Shoulders,30.0,kgs,10,,,
2025-11-24,Tension Block 15 mm,Fingers,20.0,kgs,20,,,
2025-11-24,Overhead Press,Shoulders,40.0,kgs,8,,,
2025-11-24,Tension Block 15 mm,Fingers,25.0,kgs,13,,,
2025-11-24,Lat Pulldown,Back,40.0,kgs,10,,,
2025-11-24,Overhead Press,Shoulders,42.5,kgs,6,,,
2025-11-24,Tension Block 15 mm,Fingers,30.0,kgs,5,,,
2025-11-24,Lat Pulldown,Back,50.0,kgs,10,,,
2025-11-24,Overhead Press,Shoulders,45.0,kgs,4,,,
2025-11-24,Tension Block 15 mm,Fingers,30.0,kgs,4,,,
2025-11-24,Lat Pulldown,Back,60.0,kgs,6,,,
2025-11-24,Overhead Press,Shoulders,45.0,kgs,4,,,
2025-11-24,Tension Block 15 mm,Fingers,27.5,kgs,7,,,
2025-11-24,Lat Pulldown,Back,60.0,kgs,6,,,
2025-11-29,Overhead Press,Shoulders,30.0,kgs,10,,,
2025-11-29,Nature Climbing 15 mm High Angle,Fingers,20.0,kgs,20,,,
2025-11-29,Lat Pulldown,Back,40.0,kgs,10,,,
2025-11-29,Overhead Press,Shoulders,40.0,kgs,8,,,
2025-11-29,Nature Climbing 15 mm High Angle,Fingers,22.5,kgs,18,,,
2025-11-29,Lat Pulldown,Back,50.0,kgs,10,,,
2025-11-29,Overhead Press,Shoulders,42.5,kgs,6,,,
2025-11-29,Nature Climbing 15 mm High Angle,Fingers,25.0,kgs,8,,,
2025-11-29,Lat Pulldown,Back,60.0,kgs,6,,,
2025-11-29,Overhead Press,Shoulders,45.0,kgs,5,,,
2025-11-29,Nature Climbing 15 mm High Angle,Fingers,25.0,kgs,8,,,
2025-11-29,Lat Pulldown,Back,65.0,kgs,4,,,
2025-11-29,Overhead Press,Shoulders,47.5,kgs,3,,,
2025-11-29,Nature Climbing 15 mm High Angle,Fingers,25.0,kgs,8,,,
2025-11-29,Lat Pulldown,Back,65.0,kgs,4,,,
2025-11-29,Overhead Press,Shoulders,47.5,kgs,3,,,
2025-11-29,Nature Climbing 20mm HC,Fingers,25.0,kgs,20,,,
2025-12-01,Deadlift,Back,80.0,kgs,10,,,
2025-12-01,Nature Climbing 15 mm High Angle,Fingers,20.0,kgs,20,,,
2025-12-01,Deadlift,Back,100.0,kgs,10,,,
2025-12-01,Nature Climbing 15 mm High Angle,Fingers,22.5,kgs,19,,,
2025-12-01,Deadlift,Back,120.0,kgs,8,,,
2025-12-01,Nature Climbing 15 mm High Angle,Fingers,25.0,kgs,12,,,
2025-12-01,Deadlift,Back,130.0,kgs,6,,,
2025-12-01,Nature Climbing 15 mm High Angle,Fingers,25.0,kgs,12,,,
2025-12-01,Deadlift,Back,140.0,kgs,4,,,
